1,0.0,1.0
2,-1.0,8.0
3,-6.0,28.0
4,-15.0,57.0
5,-32.0,96.0
6,-53.0,143.0
7,-75.0,191.0
8,-93.0,241.0
9,-109.0,300.0
10,-121.0,356.0
11,-132.0,421.0
12,-142.0,497.0
13,-148.0,577.0
14,-150.0,675.0
15,-149.0,776.0
16,-145.0,882.0
17,-137.0,992.0
18,-134.0,1092.0
19,-143.0,1201.0
20,-167.0,1315.0
21,-205.0,1421.0
22,-247.0,1535.0
23,-289.0,1634.0
24,-323.0,1717.0
25,-363.0,1801.0
26,-402.0,1877.0
27,-438.0,1956.0
28,-481.0,2051.0
29,-513.0,2124.0
30,-548.0,2197.0
31,-578.0,2259.0
32,-594.0,2296.0
33,-608.0,2338.0
34,-628.0,2382.0
35,-656.0,2440.0
36,-694.0,2509.0
37,-732.0,2579.0
38,-759.0,2638.0
39,-781.0,2684.0
40,-796.0,2724.0
41,-813.0,2762.0
42,-834.0,2802.0
43,-852.0,2839.0
44,-869.0,2869.0
45,-882.0,2889.0
46,-887.0,2898.0
47,-889.0,2902.0
48,-890.0,2904.0
49,-890.0,2903.0
50,-890.0,2900.0
51,-890.0,2892.0
52,-889.0,2877.0
53,-885.0,2856.0
54,-872.0,2825.0
55,-855.0,2789.0
56,-839.0,2760.0
57,-821.0,2733.0
58,-811.0,2715.0
59,-802.0,2699.0
60,-790.0,2674.0
61,-774.0,2641.0
62,-753.0,2594.0
63,-722.0,2540.0
64,-703.0,2485.0
65,-687.0,2442.0
66,-679.0,2415.0
67,-677.0,2396.0
68,-668.0,2383.0
69,-658.0,2368.0
70,-649.0,2353.0
71,-639.0,2341.0
72,-617.0,2318.0
73,-590.0,2284.0
74,-558.0,2244.0
75,-527.0,2202.0
76,-506.0,2168.0
77,-492.0,2125.0
78,-478.0,2083.0
79,-468.0,2040.0
80,-461.0,2001.0
81,-451.0,1973.0
82,-445.0,1930.0
83,-427.0,1871.0
84,-399.0,1795.0
85,-370.0,1722.0
86,-339.0,1671.0
87,-322.0,1642.0
88,-306.0,1622.0
89,-296.0,1609.0
90,-282.0,1593.0
91,-262.0,1565.0
92,-245.0,1542.0
93,-226.0,1514.0
94,-202.0,1481.0
95,-186.0,1462.0
96,-170.0,1447.0
97,-151.0,1425.0
98,-137.0,1407.0
99,-116.0,1380.0
100,-89.0,1341.0
101,-68.0,1307.0
102,-47.0,1270.0
103,-30.0,1238.0
104,-21.0,1220.0
105,-12.0,1206.0
106,-7.0,1201.0
107,-5.0,1197.0
108,-1.0,1190.0
109,6.0,1178.0
110,14.0,1165.0
111,21.0,1151.0
112,28.0,1138.0
113,29.0,1131.0
114,30.0,1125.0
115,30.0,1122.0
